Var1,name,gp,min,pts,fgm,fga,fg,x3p_made,x3pa,x3p,ftm,fta,ft,oreb,dreb,reb,ast,stl,blk,tov,target_5yrs
0,Brandon Ingram,36.0,27.4,7.4,2.6,7.6,34.7,0.5,2.1,13.3,1.6,2.3,69.9,0.7,3.4,4.1,1.9,0.4,0.4,1.3,no
1,Andrew Harrison,35.0,26.9,7.2,2.0,6.7,29.6,0.7,2.8,23.5,2.6,3.4,76.5,0.5,2.0,2.4,3.7,1.1,0.5,1.6,no
2,JaKarr Sampson,74.0,15.3,5.2,2.0,4.7,42.2,0.4,1.7,24.4,0.9,1.3,67.0,0.5,1.7,2.2,1.0,0.5,0.3,1.0,no
3,Malik Sealy,58.0,11.6,5.7,2.3,5.5,42.6,0.1,0.5,22.6,0.9,1.3,68.9,1.0,0.9,1.9,0.8,0.6,0.1,1.0,yes
4,Matt Geiger,48.0,11.5,4.5,1.6,3.0,52.4,0.0,0.1,0.0,1.3,1.9,67.4,1.0,1.5,2.5,0.3,0.3,0.4,0.8,yes
5,Tony Bennett,75.0,11.4,3.7,1.5,3.5,42.3,0.3,1.1,32.5,0.4,0.5,73.2,0.2,0.7,0.8,1.8,0.4,0.0,0.7,no
6,Don MacLean,62.0,10.9,6.6,2.5,5.8,43.5,0.0,0.1,50.0,1.5,1.8,81.1,0.5,1.4,2.0,0.6,0.2,0.1,0.7,yes
7,Tracy Murray,48.0,10.3,5.7,2.3,5.4,41.5,0.4,1.5,30.0,0.7,0.8,87.5,0.8,0.9,1.7,0.2,0.2,0.1,0.7,yes
8,Duane Cooper,65.0,9.9,2.4,1.0,2.4,39.2,0.1,0.5,13.3,0.4,0.5,71.4,0.2,0.6,0.8,2.3,0.3,0.0,1.1,no
9,Dave Johnson,42.0,8.5,3.7,1.4,3.5,38.3,0.1,0.3,21.4,1.0,1.4,67.8,0.4,0.7,1.1,0.3,0.2,0.0,0.7,no
10,Corey Williams,35.0,6.9,2.3,0.9,2.4,36.5,0.0,0.1,33.3,0.5,0.6,81.8,0.5,0.3,0.9,0.7,0.1,0.1,0.3,no
11,Sam Mack,62.0,14.45,5.1,2.0,4.4,44.7,0.0,0.1,13.6,0.95,1.4,70.4,0.7,1.4,1.2,0.4,0.5,0.2,1.0,yes
12,Lorenzo Williams,27.0,6.6,1.3,0.6,1.3,47.2,0.0,0.0,0.0,0.1,0.3,28.6,0.6,1.4,2.0,0.2,0.2,0.6,0.3,yes
13,P.J. Hairston,45.0,15.3,5.6,1.9,6.0,32.3,1.1,3.6,30.1,0.7,0.8,86.1,0.5,1.6,2.0,0.5,0.5,0.3,0.5,no
14,Elmore Spencer,44.0,6.4,2.4,1.0,1.9,53.7,0.0,0.0,0.0,0.4,0.7,50.0,0.4,1.0,1.4,0.2,0.2,0.4,0.6,yes
15,John Crotty,40.0,6.1,2.6,0.9,1.8,51.4,0.1,0.4,14.3,0.7,1.0,68.4,0.1,0.3,0.4,1.4,0.3,0.0,0.8,yes
16,Stephen Howard,49.0,5.3,2.1,0.7,1.9,37.6,0.0,0.0,0.0,0.7,1.1,64.2,0.5,0.7,1.2,0.2,0.3,0.2,0.5,no
17,Randy Woods,41.0,4.2,1.7,0.6,1.6,34.8,0.1,0.3,21.4,0.5,0.6,73.1,0.1,0.2,0.3,1.0,0.3,0.0,0.4,no
18,Larry Johnson,82.0,37.2,19.2,7.5,15.3,49.0,0.1,0.3,22.7,4.1,5.0,82.9,3.9,7.0,11.0,3.6,1.0,0.6,1.9,no
19,Larry Johnson,82.0,37.2,19.2,7.5,15.3,49.0,0.1,0.3,22.7,4.1,5.0,82.9,3.9,7.0,11.0,3.6,1.0,0.6,1.9,yes
20,Billy Owens,80.0,31.4,14.3,5.9,11.1,52.5,0.0,0.1,11.1,2.6,3.9,65.4,3.0,5.0,8.0,2.4,1.1,0.8,2.2,yes
21,Stacey Augmon,82.0,30.5,13.3,5.4,11.0,48.9,0.0,0.1,16.7,2.6,3.9,66.6,2.3,2.8,5.1,2.5,1.5,0.3,2.2,yes
22,Mark Macon,76.0,30.3,10.6,4.4,11.7,37.5,0.1,0.4,13.3,1.8,2.4,73.0,1.1,1.8,2.9,2.2,2.0,0.2,2.0,yes
23,Steven Smith,61.0,29.6,12.0,4.9,10.7,45.4,0.7,2.0,32.0,1.6,2.1,74.8,1.3,1.8,3.1,4.6,1.0,0.3,2.5,no
24,Mitch McGary,32.0,15.2,6.3,2.8,5.2,53.3,0.0,0.1,0.0,0.8,1.3,62.5,1.7,3.5,5.2,0.4,0.5,0.5,1.0,no
25,Larry Stewart,76.0,29.3,10.4,4.0,7.8,51.4,0.0,0.0,0.0,2.5,3.1,80.7,2.4,3.5,5.9,1.6,0.7,0.6,1.5,yes
26,Mike Iuzzolino,52.0,24.6,9.3,3.1,6.8,45.1,1.1,2.6,43.4,2.1,2.5,83.6,0.5,1.4,1.9,3.7,0.6,0.0,1.8,no
27,Doug Smith,76.0,22.5,8.8,3.8,9.2,41.5,0.0,0.1,0.0,1.2,1.6,73.6,1.7,3.4,5.1,1.7,0.8,0.5,1.3,yes
28,Paul Graham,78.0,22.0,10.1,3.9,8.7,44.7,0.7,1.8,39.0,1.6,2.2,74.1,0.9,2.0,3.0,2.2,1.2,0.3,1.2,no
29,Donald Hodge,51.0,20.7,8.4,3.2,6.4,49.7,0.0,0.0,0.0,2.0,2.9,66.7,2.3,3.1,5.4,0.8,0.5,0.5,1.5,yes
30,Dale Davis,64.0,20.3,6.2,2.4,4.4,55.2,0.0,0.0,0.0,1.4,2.4,57.2,2.5,3.9,6.4,0.5,0.4,1.2,0.8,yes
31,Stanley Roberts,55.0,20.3,10.4,4.3,8.1,52.9,0.0,0.0,0.0,1.8,3.6,51.5,2.1,4.1,6.1,0.7,0.4,1.5,1.4,yes
32,Terrell Brandon,82.0,19.6,7.4,3.1,7.3,41.9,0.0,0.3,4.3,1.2,1.5,80.6,0.6,1.4,2.0,3.9,1.0,0.3,1.7,yes
33,Bison Dele,48.0,18.9,9.1,3.6,6.8,52.8,0.0,0.0,0.0,2.0,3.0,66.9,2.4,3.3,5.7,0.7,0.8,1.1,1.8,yes
34,Spencer Dinwiddie,34.0,13.4,4.3,1.5,5.0,30.2,0.4,1.9,18.5,0.9,1.0,91.2,0.1,1.3,1.4,3.1,0.6,0.2,1.0,no
35,Tracy Moore,42.0,18.6,8.5,3.1,7.7,40.0,0.7,2.0,35.7,1.5,1.9,83.3,0.7,1.2,2.0,1.1,0.8,0.1,1.1,yes
36,Greg Anthony,82.0,18.4,5.5,2.0,5.3,37.0,0.1,0.7,14.5,1.4,1.9,74.1,0.4,1.3,1.7,3.8,0.7,0.1,1.2,yes
37,Kenny Anderson,64.0,17.0,7.0,2.9,7.5,39.0,0.0,0.2,23.1,1.1,1.5,74.5,0.6,1.4,2.0,3.2,1.1,0.1,1.5,yes
38,Victor Alexander,80.0,16.9,7.4,3.0,5.7,52.9,0.0,0.0,0.0,1.3,1.9,69.1,1.3,2.9,4.2,0.4,0.6,0.8,1.1,yes
39,David Benoit,77.0,15.1,5.6,2.3,4.9,46.7,0.0,0.2,21.4,1.1,1.3,81.0,1.4,2.5,3.8,0.4,0.3,0.6,0.9,yes
40,Kevin Lynch,55.0,14.9,4.1,1.7,4.1,41.7,0.1,0.1,37.5,0.6,0.8,76.1,0.5,1.0,1.5,1.5,0.7,0.2,0.8,no
41,LaBradford Smith,48.0,14.8,5.1,2.1,5.1,40.7,0.0,0.4,9.5,0.9,1.2,80.4,0.6,1.1,1.7,2.1,0.9,0.0,1.3,no
42,Chris Corchiani,51.0,14.5,5.0,1.5,3.8,39.9,0.2,0.7,27.0,1.8,2.0,87.5,0.4,1.2,1.5,2.8,0.9,0.0,1.4,no
43,Travis Wear,51.0,13.2,3.9,1.6,4.1,40.2,0.2,0.6,36.7,0.4,0.5,76.9,0.6,1.5,2.1,0.8,0.3,0.2,0.7,no
44,Robert Pack,72.0,12.4,4.6,1.6,3.8,42.3,0.0,0.1,0.0,1.4,1.8,80.3,0.4,0.9,1.3,1.9,0.6,0.1,1.3,yes
45,Pete Chilcutt,69.0,11.8,3.6,1.6,3.6,45.2,0.0,0.0,100.0,0.3,0.4,82.1,1.1,1.6,2.7,0.6,0.5,0.3,0.6,yes
46,Chris Gatling,54.0,11.3,5.7,2.2,3.8,56.8,0.0,0.1,0.0,1.3,2.0,66.1,1.4,2.0,3.4,0.3,0.6,0.7,0.8,yes
47,Tharon Mayes,24.0,10.6,4.1,1.3,4.1,30.3,0.6,1.7,36.6,1.0,1.5,66.7,0.1,0.5,0.7,1.5,0.7,0.1,1.3,no
48,Eric Murdock,50.0,9.6,4.1,1.5,3.7,41.5,0.1,0.5,19.2,0.9,1.2,75.4,0.4,0.7,1.1,1.8,0.6,0.1,1.0,yes
49,Randy Brown,56.0,9.6,3.4,1.4,3.0,45.6,0.0,0.1,0.0,0.7,1.0,65.5,0.5,0.8,1.2,1.1,0.6,0.2,0.8,yes
50,Greg Sutton,67.0,9.0,3.7,1.4,3.6,38.8,0.4,1.3,29.2,0.5,0.7,75.6,0.1,0.6,0.7,1.4,0.4,0.1,1.0,no
51,Elliot Perry,50.0,8.7,2.5,1.0,2.6,38.0,0.0,0.1,14.3,0.5,0.8,65.9,0.3,0.5,0.8,1.6,0.7,0.1,1.0,yes
52,Marty Conlon,62.0,14.45,5.1,2.0,4.4,44.7,0.0,0.1,0.0,0.95,1.4,70.4,0.7,1.4,1.5,0.3,0.5,0.2,1.0,yes
53,Rodney Monroe,38.0,8.2,3.4,1.4,3.8,36.8,0.2,0.7,22.2,0.5,0.6,82.6,0.3,0.6,0.9,0.7,0.3,0.1,0.6,no
54,John Turner,42.0,8.2,2.8,1.0,2.3,43.9,0.0,0.0,0.0,0.7,1.4,52.5,0.9,1.0,1.9,0.3,0.1,0.1,0.8,no
55,Mark Randall,54.0,8.2,3.2,1.3,2.8,45.6,0.1,0.3,18.8,0.6,0.8,74.4,0.7,0.6,1.3,0.6,0.2,0.1,0.5,no
56,Sean Green,35.0,7.3,4.0,1.8,4.5,39.2,0.1,0.3,20.0,0.4,0.8,53.6,0.6,0.6,1.2,0.6,0.4,0.2,0.8,no
57,Kevin Brooks,37.0,7.3,2.8,1.2,2.6,44.3,0.1,0.3,18.2,0.5,0.6,81.0,0.4,0.7,1.1,0.3,0.2,0.1,0.5,no
58,Doug Lee,-1.0,6.7,2.6,1.1,2.5,43.1,0.2,0.8,27.0,0.2,0.4,52.6,0.4,0.4,0.8,0.5,0.2,0.0,0.3,no
59,Corey Crowder,51.0,6.4,2.2,0.8,2.2,38.4,0.3,0.6,43.3,0.3,0.4,83.3,0.3,0.5,0.8,0.3,0.1,0.0,0.3,no
60,Rich King,40.0,5.3,2.2,0.7,1.8,38.0,0.0,0.0,0.0,0.9,1.1,75.6,0.5,0.7,1.2,0.3,0.1,0.1,0.5,no
61,Stephen Thompson,19.0,4.8,1.6,0.7,1.9,37.8,0.0,0.1,0.0,0.2,0.4,37.5,0.6,0.4,1.0,0.4,0.3,0.2,0.3,no
62,Charles Thomas,36.0,4.3,1.3,0.5,1.4,35.3,0.1,0.5,11.8,0.3,0.4,66.7,0.2,0.4,0.6,0.6,0.1,0.0,0.5,no
63,Lionel Simmons,79.0,37.7,18.0,6.9,16.5,42.2,0.0,0.1,27.3,4.1,5.5,73.6,2.4,6.4,8.8,4.0,1.4,1.1,2.9,yes
64,Gary Harris,55.0,13.1,3.4,1.2,3.9,30.4,0.4,1.9,20.4,0.6,0.9,74.5,0.4,0.8,1.2,0.5,0.7,0.1,0.7,no
65,Derrick Coleman,74.0,35.2,18.4,6.9,14.9,46.7,0.2,0.5,34.2,4.4,6.0,73.1,3.6,6.6,10.3,2.2,1.0,1.3,2.9,yes
66,Travis Mays,64.0,33.5,14.3,4.6,11.3,40.6,1.1,3.1,36.5,4.0,5.2,77.0,0.8,1.9,2.8,4.0,1.3,0.2,2.5,no
67,Dennis Scott,82.0,28.5,15.7,6.1,14.4,42.5,1.5,4.1,37.4,1.9,2.5,75.0,0.8,2.1,2.9,1.6,0.8,0.3,1.6,yes
68,Gary Payton*,82.0,27.4,7.2,3.2,7.0,45.0,0.0,0.2,7.7,0.8,1.2,71.1,1.3,1.6,3.0,6.4,2.0,0.2,2.2,yes
69,Felton Spencer,81.0,25.9,7.1,2.4,4.7,51.2,0.0,0.0,0.0,2.2,3.1,72.2,3.4,4.6,7.9,0.3,0.6,1.5,0.9,yes
70,Willie Burton,76.0,25.4,12.0,4.5,10.2,44.1,0.1,0.4,13.3,3.0,3.9,78.2,1.5,2.0,3.4,1.4,0.9,0.3,1.9,yes
71,Dee Brown,82.0,23.7,8.7,3.5,7.5,46.4,0.1,0.4,20.6,1.7,1.9,87.3,0.5,1.7,2.2,4.2,1.0,0.2,1.7,no
72,Dee Brown,82.0,23.7,8.7,3.5,7.5,46.4,0.1,0.4,20.6,1.7,1.9,87.3,0.5,1.7,2.2,4.2,1.0,0.2,1.7,yes
73,Dee Brown,49.0,9.2,1.9,0.7,2.0,32.7,0.1,0.6,21.4,0.5,0.8,64.9,0.2,0.7,0.8,1.7,0.5,0.1,0.6,no
74,Dee Brown,49.0,9.2,1.9,0.7,2.0,32.7,0.1,0.6,21.4,0.5,0.8,64.9,0.2,0.7,0.8,1.7,0.5,0.1,0.6,yes
75,Kendall Gill,82.0,23.7,11.0,4.6,10.2,45.0,0.0,0.2,14.3,1.9,2.2,83.5,1.3,1.9,3.2,3.7,1.3,0.5,2.0,yes
76,Duane Causwell,62.0,14.45,5.1,2.0,4.4,44.7,0.0,0.1,0.0,0.95,1.4,70.4,0.7,1.4,5.1,0.9,0.5,0.2,1.0,yes
77,Mahmoud Abdul-Rauf,67.0,22.5,14.1,6.2,15.1,41.3,0.4,1.5,24.0,1.3,1.5,85.7,0.5,1.3,1.8,3.1,0.8,0.1,1.6,yes
78,A.J. English,70.0,20.6,8.8,3.6,8.2,43.9,0.0,0.4,9.7,1.6,2.2,70.7,0.9,1.2,2.1,2.5,0.4,0.2,1.6,no
79,Danny Ferry,81.0,20.5,8.6,3.4,7.9,42.8,0.3,1.0,29.9,1.5,1.9,81.6,1.2,2.3,3.5,1.8,0.5,0.3,1.5,yes
80,Mario Elie,33.0,19.5,7.2,2.4,4.8,49.7,0.1,0.3,40.0,2.3,2.7,84.3,1.4,1.9,3.3,1.4,0.6,0.3,0.9,yes
81,Anthony Cook,58.0,19.3,5.3,2.0,4.9,41.7,0.0,0.1,0.0,1.2,2.2,55.0,2.3,3.3,5.6,0.4,0.6,1.2,0.9,no
82,Gerald Paddio,70.0,16.9,7.2,3.0,7.2,41.9,0.1,0.3,25.0,1.1,1.3,79.6,0.5,1.1,1.7,1.3,0.3,0.1,1.0,no
83,Bimbo Coles,82.0,16.5,4.9,2.0,4.8,41.2,0.1,0.4,17.6,0.9,1.2,74.7,0.7,1.2,1.9,2.8,0.8,0.1,1.2,yes
84,Bo Kimble,62.0,16.2,6.9,2.6,6.7,38.0,0.3,1.0,29.2,1.5,1.9,77.3,0.7,1.2,1.9,1.2,0.5,0.1,1.2,no
85,Alec Kessler,78.0,16.1,6.2,2.6,6.0,42.5,0.0,0.1,0.0,1.1,1.7,67.2,1.5,2.8,4.3,0.4,0.2,0.3,1.4,no
86,Loy Vaught,73.0,16.1,5.5,2.4,4.9,48.7,0.0,0.0,0.0,0.7,1.0,66.2,1.7,3.1,4.8,0.5,0.3,0.3,0.7,yes
87,Tyrone Hill,74.0,16.1,5.3,2.0,4.0,49.2,0.0,0.0,0.0,1.3,2.1,63.2,2.1,3.1,5.2,0.3,0.5,0.4,1.0,yes
88,Marcus Liberty,76.0,15.4,6.7,2.8,6.8,42.1,0.2,0.8,29.8,0.8,1.2,63.0,1.5,1.4,2.9,0.8,0.6,0.3,0.9,no
89,Terry Mills,-1.0,14.9,5.7,2.4,5.2,46.5,0.0,0.1,0.0,0.9,1.2,71.2,1.5,2.7,4.2,0.6,0.6,0.5,0.8,yes
90,Jamal Robinson,47.0,14.3,5.6,2.3,5.1,44.6,0.0,0.2,18.2,1.0,1.7,58.8,0.4,1.1,1.5,2.8,0.7,0.2,1.6,no
91,Henry James,37.0,13.6,8.1,3.0,6.9,44.1,0.6,1.6,40.0,1.4,1.9,72.2,0.7,1.4,2.1,0.9,0.4,0.1,1.0,yes
92,Jerrod Mustaf,62.0,13.3,4.3,1.7,3.7,46.5,0.0,0.0,0.0,0.9,1.4,64.4,0.8,1.9,2.7,0.6,0.2,0.2,1.0,no
93,Kevin Pritchard,62.0,12.5,3.9,1.4,3.7,38.4,0.1,0.5,16.1,1.0,1.2,80.5,0.3,0.8,1.0,1.3,0.5,0.1,0.9,no
94,Gerald Glass,51.0,11.9,6.9,2.9,6.7,43.8,0.0,0.3,11.8,1.0,1.5,68.4,1.1,0.9,2.0,0.8,0.6,0.2,0.8,no
95,Larry Robinson,36.0,11.8,3.9,1.7,4.2,41.3,0.0,0.0,0.0,0.4,0.8,55.6,0.8,0.6,1.4,1.0,0.4,0.0,0.8,yes
96,Jud Buechler,74.0,11.6,3.1,1.3,3.1,41.6,0.0,0.1,25.0,0.6,0.9,65.2,0.8,1.1,1.9,0.7,0.5,0.2,0.3,yes
97,Cedric Ceballos,63.0,11.6,8.2,3.2,6.7,48.7,0.0,0.1,16.7,1.7,2.6,66.3,1.2,1.2,2.4,0.6,0.3,0.1,1.1,yes
98,Kyle Anderson,33.0,10.8,2.2,0.9,2.7,34.8,0.1,0.3,27.3,0.3,0.4,64.3,0.2,2.0,2.2,0.8,0.5,0.2,0.3,no
99,Greg Foster,54.0,11.2,4.4,1.8,3.9,46.0,0.0,0.1,0.0,0.8,1.1,68.9,1.0,1.8,2.8,0.7,0.2,0.4,0.8,yes
100,Brian Oliver,62.0,14.45,5.1,2.0,4.4,44.7,0.0,0.1,27.8,0.95,1.4,70.4,0.7,1.4,1.1,1.2,0.5,0.2,1.0,no
101,Howard Wright,15.0,10.9,3.6,1.3,3.1,40.4,0.0,0.1,0.0,1.1,1.6,66.7,0.8,2.2,3.0,0.2,0.3,0.3,0.7,no
102,Tony Smith,64.0,10.9,3.7,1.5,3.4,44.1,0.0,0.1,0.0,0.6,0.9,70.2,0.4,0.7,1.1,2.1,0.4,0.2,1.1,yes
103,Tate George,56.0,10.6,3.4,1.4,3.4,41.5,0.0,0.0,0.0,0.6,0.7,80.0,0.3,0.5,0.8,1.9,0.5,0.1,0.8,no
104,Rick Calloway,64.0,10.6,3.2,1.2,3.0,39.1,0.0,0.0,0.0,0.9,1.2,69.6,0.4,0.8,1.2,1.0,0.3,0.1,0.8,no
105,Steve Henson,68.0,10.1,3.1,1.2,2.8,41.8,0.3,0.8,33.3,0.6,0.6,90.5,0.2,0.5,0.8,1.9,0.5,0.0,0.6,yes
106,Andy Toolson,47.0,10.0,2.9,1.1,2.6,40.3,0.3,0.7,37.5,0.5,0.7,75.8,0.7,0.7,1.4,0.7,0.3,0.0,0.5,no
107,Jayson Williams,52.0,9.8,3.5,1.4,3.1,44.7,0.0,0.0,50.0,0.7,1.1,66.1,0.8,1.3,2.1,0.3,0.2,0.1,0.8,yes
108,Kennard Winchester,64.0,9.5,3.7,1.5,3.8,40.0,0.1,0.3,40.0,0.5,0.7,77.8,0.5,0.5,1.0,0.4,0.3,0.2,0.5,no
109,Johnny O'Bryant,34.0,10.8,2.9,1.3,3.5,36.7,0.0,0.0,0.0,0.4,0.8,44.4,0.8,1.1,1.9,0.5,0.1,0.1,0.7,no
110,Dwayne Schintzius,42.0,9.5,3.8,1.6,3.7,43.9,0.0,0.0,0.0,0.5,1.0,55.0,0.7,2.2,2.9,0.4,0.1,0.7,0.8,yes
111,Sean Higgins,50.0,9.3,4.5,1.9,4.2,45.8,0.1,0.4,15.8,0.6,0.7,84.8,0.4,0.9,1.3,0.7,0.2,0.0,1.0,yes
112,Elden Campbell,52.0,7.3,2.8,1.1,2.4,45.5,0.0,0.0,0.0,0.6,0.9,65.3,0.8,1.1,1.8,0.2,0.2,0.7,0.3,yes
113,Kenny Williams,75.0,7.0,2.9,1.2,2.4,52.0,0.0,0.0,0.0,0.5,0.7,68.0,0.7,1.0,1.7,0.4,0.1,0.4,0.6,no
114,Keith Askins,39.0,6.8,2.2,0.9,2.1,42.0,0.2,0.6,24.0,0.3,0.6,48.0,0.8,1.0,1.7,0.5,0.4,0.3,0.3,yes
115,Scott Williams,51.0,6.6,2.5,1.0,2.0,51.0,0.0,0.0,50.0,0.4,0.5,71.4,0.8,1.1,1.9,0.3,0.2,0.3,0.5,yes
116,Richard Coffey,52.0,6.2,1.3,0.5,1.4,37.3,0.0,0.0,0.0,0.2,0.4,54.5,0.8,0.7,1.5,0.1,0.1,0.1,0.1,no
117,Steve Scheffler,39.0,5.8,1.5,0.5,1.0,51.3,0.0,0.0,0.0,0.5,0.5,90.5,0.5,0.6,1.2,0.2,0.1,0.1,0.1,yes
118,David Robinson*,82.0,36.6,24.3,8.4,15.9,53.1,0.0,0.0,0.0,7.5,10.2,73.2,3.7,8.3,12.0,2.0,1.7,3.9,3.1,yes
119,James Young,31.0,10.7,3.4,1.2,3.3,35.3,0.5,2.1,25.8,0.5,0.9,55.2,0.3,1.1,1.4,0.4,0.3,0.1,0.2,no
